case_id,channel,first_seen_time,num_direction_obs,num_no_signal_obs,num_near_obs,movement_distance,diagnostic_count,optical_grid_points,optical_clear_attempts,clear_attempts,clear_time,success,first_seen_position
0,1,329.8,4,7,0,2380.357849588483,0,0,0,1,10.134308000000146,True,
0,2,625.445514,3,2,0,743.3736720510981,0,0,0,1,5.809846000000107,True,
0,3,17.0,3,0,0,629.729535009512,0,0,0,1,9.879181000000017,True,
0,4,,0,21,0,921.9510720263928,0,0,0,0,0.0,False,
0,5,,0,21,0,0.0,0,0,0,0,0.0,False,
0,6,359.8,4,7,0,1067.8345840101733,0,0,0,1,9.074922999999671,True,
0,7,,0,21,0,0.0,0,0,0,0,0.0,False,
0,8,,0,21,0,0.0,0,0,0,0,0.0,False,
0,9,53.0,3,7,0,202.24444640990293,0,0,0,1,31.27230899999995,True,
0,10,,0,21,0,0.0,0,0,0,0,0.0,False,
0,11,4398.326448,2,20,0,3368.6792897984774,0,0,0,1,8.894607999999607,True,
0,12,3430.016417,3,16,0,329.57366407030236,0,0,0,1,48.40781499999957,True,
0,13,,0,21,0,965.3950383149723,0,0,0,0,0.0,False,
0,14,3442.016417,3,14,0,626.4779787864067,0,0,0,1,130.29559599999993,True,
0,15,2880.738743,4,15,0,3476.732728294712,0,0,0,1,5.245918999999958,True,
0,16,95.0,3,7,0,403.80424245544174,0,0,0,1,57.8560709999997,True,
0,17,709.445514,3,2,0,688.5302983159776,0,0,0,1,11.276962000000026,True,
0,18,,0,21,0,4365.277133294035,0,0,0,0,0.0,False,
0,19,113.0,3,8,0,1416.183443888684,0,0,0,1,8.775282999999945,True,
0,20,119.0,4,7,0,4269.039602027219,0,0,0,1,11.92050700000027,True,
1,1,4042.086328,4,11,0,2249.399968213761,0,0,0,1,5.0,True,
1,2,,0,17,0,367.82101087782013,0,0,0,0,0.0,False,
1,3,17.0,3,0,0,749.2869127220549,0,0,0,1,5.0,True,
1,4,347.8,3,3,0,805.1429996349902,0,0,0,1,11.184533000000101,True,
1,5,29.0,3,14,0,178.04717449369716,0,0,0,1,40.609434999999394,True,
1,6,35.0,4,1,0,873.1499727090314,0,0,0,1,179.629995,True,
1,7,2350.124934,4,15,0,690.1456962733158,0,0,0,1,8.566193999999996,True,
1,8,47.0,3,3,0,358.9845865985538,0,0,0,1,76.79691700000012,True,
1,9,53.0,4,13,0,960.2717274713117,0,0,0,1,5.971286999999393,True,
1,10,,0,17,0,0.0,0,0,0,0,0.0,False,
1,11,,0,17,0,0.0,0,0,0,0,0.0,False,
1,12,5318.016396,3,16,0,683.6615612414299,0,0,0,1,9.320308999999725,True,
1,13,,0,16,0,4560.391574500929,0,0,0,0,0.0,False,
1,14,407.8,2,2,0,344.0044643850752,0,0,0,1,69.59442100000001,True,
1,15,89.0,4,13,0,4637.2558478301635,0,0,0,1,42.0496320000002,True,
1,16,95.0,4,3,0,583.0213476059239,0,0,0,1,8.155167999999776,True,
1,17,101.0,2,3,0,597.8280396906385,0,0,0,1,124.56560800000011,True,
1,18,431.8,3,1,0,731.9795264491466,0,0,0,1,11.002971000000002,True,
1,19,437.8,3,2,0,798.022921219429,0,0,0,1,5.0,True,
1,20,323.8,3,1,0,1559.3495797012517,0,0,0,1,77.59931800000004,True,
2,1,1978.1054,2,6,0,3170.2674077997085,0,0,0,1,80.32873999999993,True,
2,2,1702.026392,2,8,0,818.4978809399598,1,0,0,1,65.63277700000026,True,
2,3,628.357426,3,2,0,1058.4196837831657,0,0,0,1,134.98999099999992,True,
2,4,23.0,3,8,0,857.7843306660052,0,0,0,1,6.061075999999957,True,
2,5,29.0,4,1,0,922.6829059936715,0,0,0,1,9.807438000000047,True,
2,6,3595.932052,3,16,0,808.9011983957048,0,0,0,1,8.985805000000255,True,
2,7,,0,19,0,801.3642540727906,0,0,0,0,0.0,False,
2,8,,0,19,0,0.0,0,0,0,0,0.0,False,
2,9,3358.517093,3,9,0,713.9180544230577,0,0,0,1,147.78361099999984,True,
2,10,,0,19,0,0.0,0,0,0,0,0.0,False,
2,11,389.8,3,1,0,589.3503995187496,0,0,0,1,10.357276999999954,True,
2,12,682.357426,3,2,0,117.0951236704805,0,0,0,1,20.786919000000125,True,
2,13,,0,19,0,3048.457969273834,0,0,0,0,0.0,False,
2,14,83.0,3,9,0,539.0386059590803,0,0,0,1,8.616043999999874,True,
2,15,89.0,3,7,0,677.3759781440717,0,0,0,1,9.59758899999997,True,
2,16,419.8,3,3,0,318.162616114263,0,0,0,1,8.277994000000035,True,
2,17,101.0,4,6,0,260.1432503311487,0,0,0,1,57.0286500000002,True,
2,18,107.0,3,0,0,440.11039706494563,0,0,0,1,9.548106000000075,True,
2,19,2050.1054,3,6,0,571.4249082199809,0,0,0,1,6.330112000000099,True,
2,20,5896.190685,2,19,0,7549.305954034043,0,0,0,1,44.68031500000052,True,
3,1,1709.407749,3,7,0,3743.7748096922314,0,0,0,1,11.06822000000011,True,
