time_s,r_cm,T_Celsius,C_kgkg,domain_status,scope
100,0,28.000057352541603,2.55,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
100,0.5,28.00036082942978,2.55,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
100,1.0,28.004109101565177,2.55,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
100,1.5,28.032891222548756,2.549998497057577,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
100,2.0,28.180404421612366,2.240448134501067,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
300,0,28.041024579711348,2.55,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
300,0.5,28.063697373685102,2.55,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
300,1.0,28.151642149991233,2.549999983817095,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
300,1.5,28.36839401770567,2.5488542552668076,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
300,2.0,28.84926157440742,2.048396506257199,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
600,0,28.453969023840898,2.549999999999956,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
600,0.5,28.53647004784409,2.5499999983436643,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
600,1.0,28.804310185915938,2.549980059794669,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
600,1.5,29.316229380375034,2.5341843339900594,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
600,2.0,30.16546825951616,1.8759767817488022,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
900,0,29.325211448289394,2.549999999656845,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
900,0.5,29.458820141042224,2.5499995638499087,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
900,1.0,29.87585816687374,2.549612990321668,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
900,1.5,30.616416134208976,2.5032515875068753,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
900,2.0,31.730559149410624,1.7542899406176595,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1200,0,30.543772761766206,2.549999953090638,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1200,0.5,30.710386470390574,2.549989915442384,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1200,1.0,31.222772168708786,2.54799525503765,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1200,1.5,32.11284896857114,2.4633134383653674,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1200,2.0,33.42781465410695,1.6584309483700195,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1500,0,31.99686340222422,2.549998882711772,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1500,0.5,32.1873671149699,2.549923955367812,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1500,1.0,32.76640832445628,2.544234918673151,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1500,1.5,33.74646451451224,2.4194591928495606,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1500,2.0,35.12026049510848,1.5787728142706423,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1800,0,33.57645054951871,2.54998981551177,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1800,0.5,33.772585500978494,2.549687514564149,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1800,1.0,34.36452244431621,2.537892629942907,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1800,1.5,35.36234689076093,2.3744335729505064,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
1800,2.0,36.78565462158707,1.510400360154637,INSIDE_OR_SURFACE,DEVELOPMENT_UNQUALIFIED
